run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_input2,run_outputF_1P,run_outputF_1U,run_outputR_1P,run_outputR_1U,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_MinLength,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-2.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,PE,1,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4M.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4M.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,25,33,MINLEN:36 MAXINFO:36:0.8,67.16577649116516,932968,7412.0,8192.0,3673.0,2048.0
run-3.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,PE,1,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4M.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4M.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,33,33,25,33,MINLEN:36 MAXINFO:36:0.8,67.03811240196228,934767,7412.0,8192.0,3706.0,2048.0
run-0.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,PE,1,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4M.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4M.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,10,33,33,25,33,MINLEN:36 MAXINFO:36:0.8,77.35131049156189,1075325,7412.0,8192.0,3706.0,2048.0
run-1.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,PE,1,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4M.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4M.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,33,33,25,33,MINLEN:36 MAXINFO:36:0.8,68.78869414329529,955877,7412.0,8192.0,3706.0,2048.0
