run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_input2,run_outputF_1P,run_outputF_1U,run_outputR_1P,run_outputR_1U,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-5.iteration-0,Linux,x86_64,1,1,2304,2217390080,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,10,3,3,4,3,36,36,0.8,12.1898682117462,718593,7412,8192,3706,2048
run-2.iteration-0,Linux,x86_64,1,1,2304,2217390080,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,10,3,3,4,3,36,36,0.8,10.869889497757,310492,7412,8192,7412,2048
run-4.iteration-0,Linux,x86_64,1,1,2304,2217390080,2147479552,PE,40,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,10,3,3,4,3,36,36,0.8,12.692385673523,642727,7412,8192,3706,2048
run-3.iteration-0,Linux,x86_64,1,1,2304,2217390080,2147479552,PE,20,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,10,3,3,4,3,36,36,0.8,12.2969326972961,458633,7412,8192,7346,2048
run-0.iteration-0,Linux,x86_64,1,1,2304,2217390080,2147479552,PE,1,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,10,3,3,4,3,36,36,0.8,7.70578718185425,101462,7412,8192,5272,2048
run-1.iteration-0,Linux,x86_64,1,1,2304,2217390080,2147479552,PE,2,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,10,3,3,4,3,36,36,0.8,8.72557353973389,185139,7412,8192,7346,2048
