run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,exe_L,exe_Du,exe_Dv,exe_F,exe_k,exe_dt,exe_plotgap,exe_steps,exe_noise,exe_output,exe_checkpoint,exe_checkpoint_freq,exe_checkpoint_output,exe_adios_config,exe_adios_span,exe_adios_memory_selection,exe_mesh_type,run_nprocs,run_settings,run_array_dimention,run_diffusion_coeff_U,run_diffusion_coeff_V,run_feed_rate_U,run_kill_rate_V,run_Timestep,run_simulation_steps,run_indused_noise,total_exe_time_ms,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-1.iteration-30,Linux,x86_64,3,3,2304.0,6246445056,2147479552,65,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,65,0.2,0.1,0.01,0.048,2,1000,1e-07,124.18391799926758,1480765,129200.0,4433.0,7005.0,316.6
run-0.iteration-24,Linux,x86_64,3,3,2304.0,6246445056,2147479552,64,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,64,0.2,0.1,0.01,0.048,2,1000,1e-07,132.2685387134552,1578731,129200.0,4433.0,7005.0,290.6
run-2.iteration-21,Linux,x86_64,3,3,2304.0,6246445056,2147479552,66,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,66,0.2,0.1,0.01,0.048,2,1000,1e-07,91.49149107933044,1087822,129200.0,4433.0,7005.0,132.1
run-7.iteration-18,Linux,x86_64,3,3,2304.0,6246445056,2147479552,71,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,71,0.2,0.1,0.01,0.048,2,1000,1e-07,175.75705122947693,2098000,129200.0,4433.0,6568.0,198.1
run-8.iteration-19,Linux,x86_64,3,3,2304.0,6246445056,2147479552,72,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,72,0.2,0.1,0.01,0.048,2,1000,1e-07,124.15652751922607,1481494,129200.0,4433.0,7506.0,295.5
run-4.iteration-7,Linux,x86_64,3,3,2304.0,6246445056,2147479552,68,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,68,0.2,0.1,0.01,0.048,2,1000,1e-07,145.61661958694458,1738277,129200.0,4433.0,8083.0,335.3
run-7.iteration-27,Linux,x86_64,3,3,2304.0,6246445056,2147479552,71,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,71,0.2,0.1,0.01,0.048,2,1000,1e-07,119.65042567253111,1425866,129200.0,4433.0,6568.0,633.3
run-0.iteration-4,Linux,x86_64,3,3,2304.0,6246445056,2147479552,64,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,64,0.2,0.1,0.01,0.048,2,1000,1e-07,113.88251066207886,1357364,129200.0,4433.0,7005.0,295.5
run-6.iteration-24,Linux,x86_64,3,3,2304.0,6246445056,2147479552,70,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,70,0.2,0.1,0.01,0.048,2,1000,1e-07,116.44413948059082,1387334,129200.0,4433.0,6568.0,177.3
run-4.iteration-17,Linux,x86_64,3,3,2304.0,6246445056,2147479552,68,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,68,0.2,0.1,0.01,0.048,2,1000,1e-07,143.4649052619934,1712630,129200.0,4433.0,7506.0,272.4
run-6.iteration-26,Linux,x86_64,3,3,2304.0,6246445056,2147479552,70,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,70,0.2,0.1,0.01,0.048,2,1000,1e-07,150.24978351593018,1793726,129200.0,4433.0,7506.0,290.6
run-8.iteration-23,Linux,x86_64,3,3,2304.0,6246445056,2147479552,72,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,72,0.2,0.1,0.01,0.048,2,1000,1e-07,140.15425038337708,1673685,129200.0,4433.0,6568.0,277.1
run-0.iteration-14,Linux,x86_64,3,3,2304.0,6246445056,2147479552,64,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,64,0.2,0.1,0.01,0.048,2,1000,1e-07,138.70626425743103,1644965,129200.0,4433.0,3895.0,96.37
run-6.iteration-8,Linux,x86_64,3,3,2304.0,6246445056,2147479552,70,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,70,0.2,0.1,0.01,0.048,2,1000,1e-07,167.98841953277588,2007879,129200.0,4433.0,7506.0,316.6
run-5.iteration-12,Linux,x86_64,3,3,2304.0,6246445056,2147479552,69,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,69,0.2,0.1,0.01,0.048,2,1000,1e-07,142.77448558807373,1702804,129200.0,4433.0,5531.0,233.3
run-3.iteration-2,Linux,x86_64,3,3,2304.0,6246445056,2147479552,67,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,67,0.2,0.1,0.01,0.048,2,1000,1e-07,111.73330163955688,1331634,129200.0,4433.0,5842.0,242.2
run-5.iteration-30,Linux,x86_64,3,3,2304.0,6246445056,2147479552,69,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,69,0.2,0.1,0.01,0.048,2,1000,1e-07,106.50866389274596,1269564,129200.0,4433.0,7005.0,311.4
run-1.iteration-26,Linux,x86_64,3,3,2304.0,6246445056,2147479552,65,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,65,0.2,0.1,0.01,0.048,2,1000,1e-07,110.75846004486084,1319501,129200.0,4433.0,6568.0,221.7
run-1.iteration-9,Linux,x86_64,3,3,2304.0,6246445056,2147479552,65,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,65,0.2,0.1,0.01,0.048,2,1000,1e-07,76.5404200553894,909092,129200.0,4433.0,7789.0,260.8
run-7.iteration-22,Linux,x86_64,3,3,2304.0,6246445056,2147479552,71,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,71,0.2,0.1,0.01,0.048,2,1000,1e-07,138.86052799224854,1657351,129200.0,4433.0,6568.0,272.4
