sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,file_type,CPU_GPU,model_name,batch_size,epochs,learning_rate,FP16,epochs_times,epochs_times_one,epochs_times_avg,test_accuracy,fit_time
Linux,x86_64,2,2,2304.0,2217431040,2147479552,1h,CPU,vgg16,1,2,0.001,0,82.43;102.31,82.43,92.37,0.26,185.07
Linux,x86_64,2,2,2304.0,2217431040,2147479552,1h,CPU,resnet,1,2,0.001,0,38.63;36.19,38.63,37.41,0.26,75.26
Linux,x86_64,2,2,2304.0,2217431040,2147479552,1h,CPU,inception,1,2,0.001,0,43.56;30.68,43.56,37.120000000000005,0.31,74.47
